pdb,cgRNASP[kBT],cgRNASP-P[kBT],cgRNASP-PC[kBT],rsRNASP[kBT],RNA_BRiQ,DFIRE_RNA
S_000087.pdb,-509.74471,-1142.66226,-299.692971,-8011.155371,-133.825,-54924.131539
S_000088.pdb,-474.996157,-971.562621,-279.446806,-7094.699051,-45.689,-52801.674118
S_000089.pdb,-530.715566,-1139.800316,-304.873092,-8128.01382,-141.474,-55674.497244
S_000090.pdb,-479.462511,-1024.82749,-285.78143,-7478.751103,-83.3473,-52600.29823
S_000091.pdb,-520.904663,-1113.196478,-292.728502,-7846.849273,-103.062,-55221.288833
S_000092.pdb,-577.304783,-1243.17144,-320.97146,-8943.362863,-141.778,-60658.053981
S_000093.pdb,-521.208535,-1104.540616,-303.156063,-8543.161973,-103.875,-55661.320936
S_000094.pdb,-501.582877,-1089.017498,-291.84835,-7387.132653,-102.517,-53642.468444
S_000095.pdb,-553.090999,-1185.399887,-313.102069,-8755.63517,-100.214,-58453.45553
S_000096.pdb,-488.076921,-1047.296281,-288.53066,-7783.320046,-140.242,-54892.512529
S_000097.pdb,-588.38138,-1237.73912,-333.892507,-9561.911007,-89.7205,-60758.042779
S_000098.pdb,-515.02244,-1097.309915,-300.044433,-7750.883102,-107.615,-53163.347484
S_000099.pdb,-485.138448,-1062.193003,-303.279657,-6461.107986,-101.281,-53449.471766
S_000100.pdb,-594.945323,-1264.008371,-326.896275,-9425.240922,-123.749,-58925.014783
